tweet_id,tweet_content,timestamp
'878521219062128640,"#ServiceAlert: Following an earlier incident at 59 St(Bklyn), N train service has resumed with delays.",Sat Jun 24 07:52:35 +0000 2017
'878519324834766848,"#ServiceAlert: Following an earlier incident at Christopher St-Sheridan Square, 1 and 2 train service has resumed with delays.",Sat Jun 24 07:45:03 +0000 2017
'878518427354267648,"#ServiceAlert: s/b N via D line 36 St(Bklyn) to Stillwell Av, due to FDNY Activity at 59 St(Bklyn). Allow additional travel time.",Sat Jun 24 07:41:29 +0000 2017
'878517243394625536,"#ServiceAlert: n/b D local W 4 St to 34 St, due to FDNY Activity at W 4 St. Allow additional travel time.",Sat Jun 24 07:36:47 +0000 2017
'878515738755072000,"#ServiceAlert: s/b 1 and 2 express 14 St to Chambers St, train with mechanical problems at Christopher St. Allow additional travel time.",Sat Jun 24 07:30:48 +0000 2017
'878474938675580929,"#ServiceAlert: Following an earlier incident between Marcy Av and Myrtle Av, J train service has resumed with delays.",Sat Jun 24 04:48:41 +0000 2017
'878469317330960384,"#ServiceAlert: Following an earlier incident at West 4 St-Washington Square, A and E train service has resumed with delays.",Sat Jun 24 04:26:21 +0000 2017
'878468569180327937,"#ServiceAlert: b/d A and E trains are running with delays, due an unruly passenger at West 4 St-Washington Square.",Sat Jun 24 04:23:22 +0000 2017
'878465171047493633,"#ServiceAlert: b/d J trains are running with delays, due to a slow moving work train b/t Marcy Av and Myrtle Av.",Sat Jun 24 04:09:52 +0000 2017
'878456092073881600,"Following an earlier incident at 34 St-Penn Station, A train service has resumed with delays.",Sat Jun 24 03:33:47 +0000 2017
'878454327102328832,"n/b A delayed, due to a train with mechanical problems at 34 St-Penn Station. Allow additional travel time.",Sat Jun 24 03:26:47 +0000 2017
'878439397447917568,"#ServiceAlert: Following an earlier incident at 14 St, F and M  train service has resumed with delays.",Sat Jun 24 02:27:27 +0000 2017
'878438666074542080,"#ServiceAlert: Following an earlier incident at 79 St, 1 train service has resumed with delays.",Sat Jun 24 02:24:33 +0000 2017
'878436277271527424,#ServiceAlert: s/b 1 trains express from 96 St to 72 St due to a train with mechanical problems at 79 St. Allow additional travel time.,Sat Jun 24 02:15:03 +0000 2017
